start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 4):(0, 0)|(4, 4):3:0x1008","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x1009","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x100a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x100b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x100c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x100d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,1
"(4, 4):(0, 0)|(4, 4):3:0x100e","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,3
"(4, 4):(0, 0)|(4, 4):3:0x100f","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,4,4,3,4,3
"(4, 4):(0, 0)|(4, 4):3:0x101a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,3,4,1
"(4, 4):(0, 0)|(4, 4):3:0x101b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,3,4,2
"(4, 4):(0, 0)|(4, 4):3:0x101c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,3,4,1
"(4, 4):(0, 0)|(4, 4):3:0x101d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,3,4,2
"(4, 4):(0, 0)|(4, 4):3:0x101e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,3,4,5
"(4, 4):(0, 0)|(4, 4):3:0x101f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,11
"(4, 4):(0, 0)|(4, 4):3:0x1028","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,7,7,1
"(4, 4):(0, 0)|(4, 4):3:0x1029","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,7,7,1
"(4, 4):(0, 0)|(4, 4):3:0x102a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,7,7,2
"(4, 4):(0, 0)|(4, 4):3:0x102b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,7,7,3
"(4, 4):(0, 0)|(4, 4):3:0x102c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,7,7,2
"(4, 4):(0, 0)|(4, 4):3:0x102d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,7,7,2
"(4, 4):(0, 0)|(4, 4):3:0x102e","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,4,4,7,7,4
